Middlesex,CT,41435120,-72523893
New Haven,CT,41348967,-72900347
New London,CT,41467300,-72104339
Tolland,CT,41853000,-72332954
Windham,CT,41834216,-71988490
District of Columbia,DC,38905050,-77016167
Kent,DE,39097086,-75503073
New Castle,DE,39580568,-75638048
Sussex,DE,38683270,-75341817
Alachua,FL,29676032,-82358340
Baker,FL,30323793,-82273806
Bay,FL,30236006,-85632422
Bradford,FL,29949503,-82168177
Brevard,FL,28299334,-80701041
Broward,FL,26146138,-80452893
Calhoun,FL,30410180,-85197404
Charlotte,FL,26898308,-81954072
Citrus,FL,28849240,-82516378
Clay,FL,29976759,-81857936
Collier,FL,26082939,-81400686
Columbia,FL,30225177,-82625028
Dade,FL,25606400,-80502124
DeSoto,FL,27190624,-81806155
Dixie,FL,29585555,-83193638
Duval,FL,30334150,-81648509
Escambia,FL,30607280,-87332598
Flagler,FL,29469979,-81296926
Franklin,FL,29801578,-84816733
Gadsden,FL,30581582,-84612367
Gilchrist,FL,29734195,-82802705
Glades,FL,26954363,-81186194
Gulf,FL,29900149,-85242231
Hamilton,FL,30491675,-82948911
Hardee,FL,27493625,-81809276
Hendry,FL,26553696,-81173157
Hernando,FL,28553015,-82468232
Highlands,FL,27340557,-81342583
Hillsborough,FL,27906325,-82346095
Holmes,FL,30867450,-85812332
Indian River,FL,27697840,-80578968
Jackson,FL,30797108,-85212767
Jefferson,FL,30420936,-83896458
Lafayette,FL,29988319,-83179529
Lake,FL,28765579,-81717405
Lee,FL,26577579,-81921462
Leon,FL,30456900,-84279084
Levy,FL,29277485,-82789848
Liberty,FL,30232796,-84886906
Madison,FL,30451966,-83467226
Manatee,FL,27481355,-82359737
Marion,FL,29211533,-82059049
Martin,FL,27079690,-80396904
Monroe,FL,25117067,-81150319
Nassau,FL,30610692,-81767656
Okaloosa,FL,30668312,-86593016
Okeechobee,FL,27385038,-80889832
Orange,FL,28513955,-81322127
Osceola,FL,28058084,-81146851
Palm Beach,FL,26641412,-80437015
Pasco,FL,28300958,-82438570
Pinellas,FL,27902616,-82738949
Polk,FL,27959784,-81700070
Putnam,FL,29605267,-81740382
St. Johns,FL,29907781,-81406762
St. Lucie,FL,27378077,-80444473
Santa Rosa,FL,30696031,-87016380
Sarasota,FL,27194506,-82369354
Seminole,FL,28708658,-81227100
Sumter,FL,28708136,-82079177
Suwannee,FL,30186710,-82993463
Taylor,FL,30018776,-83615892
Union,FL,30042652,-82374033
Volusia,FL,29067589,-81138499
Wakulla,FL,30152673,-84381252
Walton,FL,30614519,-86170814
Washington,FL,30613161,-85670694
Appling,GA,31753389,-82285580
Atkinson,GA,31294857,-82874736
Bacon,GA,31556775,-82451152
Baker,GA,31330837,-84454013
Baldwin,GA,33071932,-83250851
Banks,GA,34352696,-83500539
Barrow,GA,33993471,-83711811
Bartow,GA,34238402,-84839182
Ben Hill,GA,31759395,-83219755
Berrien,GA,31274242,-83231790
Bibb,GA,32804510,-83699153
Bleckley,GA,32435521,-83331211
Brantley,GA,31197017,-81983226
Brooks,GA,30846525,-83577257
Bryan,GA,32020373,-81437630
Bulloch,GA,32390705,-81743912
Burke,GA,33058372,-81999393
Butts,GA,33288338,-83957134
Calhoun,GA,31527925,-84618910
Camden,GA,30918946,-81637831
Candler,GA,32401337,-82074981
Carroll,GA,33582760,-85079029
Catoosa,GA,34902216,-85136429
Charlton,GA,30778898,-82139931
Chatham,GA,31968396,-81085242
Chattahoochee,GA,32347545,-84787802
Chattooga,GA,34476634,-85345765
Cherokee,GA,34244526,-84474300
Clarke,GA,33951967,-83366020
Clay,GA,31621085,-84992951
Clayton,GA,33542550,-84357031
Clinch,GA,30917580,-82702842
Cobb,GA,33941761,-84577005
Coffee,GA,31546929,-82851471
Colquitt,GA,31186498,-83768332
Columbia,GA,33548579,-82261233
Cook,GA,31154784,-83430769
Coweta,GA,33352613,-84762598
Crawford,GA,32709817,-83979679
Crisp,GA,31925397,-83771586
Dade,GA,34854620,-85504714
Dawson,GA,34440009,-84171192
Decatur,GA,30878764,-84579633
DeKalb,GA,33770950,-84227007
Dodge,GA,32173280,-83166242
Dooly,GA,32160916,-83798374
Dougherty,GA,31538320,-84215784
Douglas,GA,33700300,-84767287
Early,GA,31330419,-84909200
Echols,GA,30716702,-82898962
Effingham,GA,32370383,-81343480
Elbert,GA,34114998,-82839768
Emanuel,GA,32586937,-82304173
Evans,GA,32158071,-81890873
Fannin,GA,34864145,-84319284
Fayette,GA,33414957,-84492885
Floyd,GA,34263300,-85215026
Forsyth,GA,34223775,-84126721
Franklin,GA,34373292,-83227670
Fulton,GA,33789400,-84467156
Gilmer,GA,34688240,-84457861
Glascock,GA,33231080,-82606939
Glynn,GA,31216954,-81494234
Gordon,GA,34504226,-84871583
Grady,GA,30875070,-84232937
Greene,GA,33581246,-83167565
Gwinnett,GA,33958950,-84025104
Habersham,GA,34630446,-83529331
Hall,GA,34315842,-83820888
Hancock,GA,33269582,-83000842
Haralson,GA,33791007,-85209002
Harris,GA,32740744,-84906073
Hart,GA,34353352,-82959161
Heard,GA,33299664,-85129214
Henry,GA,33456100,-84155399
Houston,GA,32458332,-83668346
Irwin,GA,31602342,-83274287
Jackson,GA,34133324,-83562739
Jasper,GA,33316303,-83687344
Jeff Davis,GA,31801589,-82635986
Jefferson,GA,33053978,-82415300
Jenkins,GA,32788661,-81960423
Johnson,GA,32702215,-82656169
Jones,GA,33026479,-83566095
Lamar,GA,33072999,-84135219
Lanier,GA,31037052,-83063272
Laurens,GA,32462848,-82929510
Lee,GA,31776588,-84137311
Liberty,GA,31800000,-81461920
Lincoln,GA,33792692,-82452133
Long,GA,31758810,-81747016
Lowndes,GA,30834683,-83267821
Lumpkin,GA,34574497,-84002249
McDuffie,GA,33477725,-82481896
McIntosh,GA,31479990,-81372387
Macon,GA,32354068,-84037633
Madison,GA,34128469,-83209780
Marion,GA,32352715,-84526148
Meriwether,GA,33043407,-84685011
Miller,GA,31164500,-84729419
Mitchell,GA,31223831,-84194640
Monroe,GA,33012811,-83913119
Montgomery,GA,32167566,-82529808
Morgan,GA,33592845,-83493073
Murray,GA,34781931,-84748226
Muscogee,GA,32510710,-84874972
Newton,GA,33553175,-83844381
Oconee,GA,33837330,-83437276
Oglethorpe,GA,33880977,-83082008
Paulding,GA,33922531,-84865844
Peach,GA,32563716,-83827738
Pickens,GA,34464521,-84464975
Pierce,GA,31356236,-82215188
Pike,GA,33090004,-84386390
Polk,GA,33999159,-85182021
Pulaski,GA,32237077,-83473603
Putnam,GA,33320571,-83373019
Quitman,GA,31858975,-85011921
Rabun,GA,34881290,-83401430
Randolph,GA,31762757,-84758027
Richmond,GA,33359384,-82074001
Rockdale,GA,33650167,-84026565
Schley,GA,32262828,-84320463
Screven,GA,32748714,-81614410
Seminole,GA,30933148,-84867046
Spalding,GA,33262043,-84284937
Stephens,GA,34555807,-83293956
Stewart,GA,32078127,-84837038
Sumter,GA,32042343,-84196432
Talbot,GA,32707564,-84528309
Taliaferro,GA,33566813,-82883238
Tattnall,GA,32042662,-82060640
Taylor,GA,32554326,-84251439
Telfair,GA,31934755,-82940983
Terrell,GA,31775549,-84435892
Thomas,GA,30864817,-83918530
Tift,GA,31456643,-83526087
Toombs,GA,32123112,-82335415
Towns,GA,34918638,-83739078
Treutlen,GA,32404611,-82565099
Troup,GA,33033309,-85028191
Turner,GA,31716228,-83627404
Twiggs,GA,32665980,-83426091
Union,GA,34834358,-83990883
Upson,GA,32879285,-84298271
Walker,GA,34730899,-85296304
Walton,GA,33783113,-83737677
Ware,GA,31051560,-82422077
Warren,GA,33408204,-82676369
Washington,GA,32967748,-82794869
Wayne,GA,31547579,-81913264
Webster,GA,32048522,-84550458
Wheeler,GA,32122256,-82716767
White,GA,34645367,-83752519
Whitfield,GA,34804965,-84966155
Wilcox,GA,31970336,-83435742
Wilkes,GA,33786638,-82744356
Wilkinson,GA,32798534,-83167590
Worth,GA,31552686,-83848158
Hawaii,HI,19597484,-155498504
Honolulu,HI,23573339,-164701172
Kalawao,HI,21225926,-156947946
Kauai,HI,22012655,-159704880
Maui,HI,20868006,-156621990
Adair,IA,41327177,-94466243
